aan,on
de caissière,the cashier
de camera,the camera
de cappuccino,the cappuccino
de cent,the cent
het centrum,the center
de champignon,the mushroom
de chauffeur,the driver
Chili,Chile
China,China
Chinees,Chinese
Chinese,Chinese (adjective)
de chocola,the chocolate
de cola,the cola
de collega,the colleague
het college,the college
Colombia,Colombia
de computer,the computer
de conditie,the condition
contact opnemen,to contact
controleren,to check
de courgette,the zucchini
Cubaans,Cuban
de cursus,the course
daag,farewell
daar,there
daarna,after that
daarom,therefore
de dader,the perpetrator
dag,day
de dag,the day
de dagschotel,the daily special
dan,then
dank je/u wel,thank you
dat,that
de datum,the date
de,the
het deel,the part
denken,to think
de deur,the door
deze,this
dicht bij,close to
die,that
het dier,the animal
het ding,the thing
direct,immediately
dit,this
de docent,the teacher
de documentaire,the documentary
doeg,goodbye
doei,bye
het doel,the goal
doen,to do
de dokter,the doctor
donker,dark
de dood,death
de doos,the box
de dorst,the thirst
de douche,the shower
douchen,to shower
draaien,to turn
dragen,to wear
het drankje,the drink
drinken,to drink
dromen,to dream
druk,busy
duidelijk,clear
Duits,German
duren,to last
dus,so
duur,expensive
echt,real
een,a/an
eens,once
eenvoudig,simple
eerder,earlier
eergisteren,the day before yesterday
eerlijk,honest
eerst(e),first
eet smakelijk,enjoy your meal
eh,umm
eigen,own
eigenlijk,actually
het eiland,the island
het eind(e),the end
elk,each
elkaar,each other
de emmer,the bucket
en,and
de energie,the energy
het energiedrankje,the energy drink
Engeland,England
Engels,English
Engelse,English (adjective)
Engelsman,Englishman
er,there
erbij,with it
erg,very
ergens,somewhere
eruitzien,to look like
ervandoor moeten,to have to leave
eten,to eat
de euro,the euro
even,briefly
eventueel,optionally
de familie,the family
fantastisch,fantastic
het feest,the party
de feestdag,the holiday
feliciteren met,to congratulate on
het festival,the festival
de fiets,the bicycle
fietsen,to bike
de fietsenmaker,the bike shop
fijn,nice
de file,the traffic jam
de film,the movie
de filosofie,the philosophy
de filosofiegeschie,the history of philosophy
fit,fit
de fooi,the tip
het formulier,the form
de foto,the photo
foto's maken,to take photos
Frans,French
het frietje,the French fries
het fruit,the fruit
gaan,to go
gaan zitten,to sit down
de gang,the hallway
de garage,the garage
gauw,quickly
gebeuren,to happen
het gebied,the area
gebruiken,to use
geel,yellow
geen,no
gefeliciteerd,congratulations
het gegeven,the fact
(gegevens),(data)
de gehaktbal(letje),the meatball
gek zijn op,to be crazy about
het geld,the money
geldig,valid
geleden,ago
geloven,to believe
geluk hebben,to be lucky
gelukkig,happy
(ge)makkelijk,(un)easy
gemeubileerd,furnished
genoeg,enough
het gerecht,the dish
de geschiedenis,the history
geschikt,suitable
gesloten,closed
het gewicht,the weight
in ieder geval,in any case
geven,to give
geweldig,fantastic
gewend,used to
gewoon,just
gezellig,cozy
het gezicht,the face
het gezin,the family
gezond,healthy
de gezondheid,the health
gisteravond,last night
gisteren,yesterday
glad,smooth
het glas,the glass
goed,good
goede reis,have a good trip
goedemiddag,good afternoon
goedemorgen,good morning
goedenavond,good evening
goedendag,hello
goedkoop,cheap
goh,oh
graag,gladly
even graag als,just as gladly as
graag willen,to want
het grapje,the joke
gratis,free
groen,green
de groente,the vegetables
de groenteboer,the greengrocer
de groep,the group
de groepsles,the group lesson
de groeten,regards
de groeten doen aan,to say hello to
groot,big
het haar,the hair
haar,her/hair
de hal,the hall
halen,to fetch
half,half
hallo,hello
handig,handy
hartstikke,very
hé,hey
hebben,to have
heel,very
heerlijk,delicious
helaas,unfortunately
helemaal,completely
helpen,to help
hem,him
hen,them
de herfst,the autumn
herhalen,to repeat
"herinneren, zich",to remember
herkennen,to recognize
het,it
het gaat wel,it's okay
het is druk,it's busy
het spijt me,I'm sorry
heten,to be called
hetzelfde,the same
hier,here
de hitte,the heat
de hobby,the hobby
hoe,how
de hoek,the corner
hoera,hooray
hoeveel,how many
hoeven,to need
hoewel,although
hoezo,how come
hoi,hi
de hond,the dog
de honger,the hunger
het hoofdgerecht,the main course
hebben,to have
heel,very
heerlijk,delicious
helaas,unfortunately
helemaal,completely
helpen,to help
hem,him
hen,them
de herfst,the autumn
herhalen,to repeat
"herinneren, zich",to remember
herkennen,to recognize
het,it
het gaat wel,it's okay
het is druk,it's busy
het spijt me,I'm sorry
heten,to be called
hetzelfde,the same
hier,here
de hitte,the heat
de hobby,the hobby
hoe,how
de hoek,the corner
hoera,hooray
hoeveel,how many
hoeven,to need
hoewel,although
hoezo,how come
hoi,hi
de hond,the dog
de honger,the hunger
het hoofdgerecht,the main course
"interesseren, zich",to be interested in
het internet,the internet
ja,yes
ja hoor,"yes, of course"
het jaar,the year
jarig zijn,to have a birthday
de jas,the jacket
jawel,"yes, indeed"
de jeuk,the itch
jeuken,to itch
jij,you (informal)
jong,young
de jongen,the boy
jongen,boy
jou,you
jouw,your
juist,correct
jullie,you (plural)
het kaartje,the card
de kaas,the cheese
de kamer,the room
de kans,the chance
de kantine,the canteen
het kantoor,the office
kapot,broken
de kast,the cupboard
de kat,the cat
de keel,the throat
"een keer, de keer","once, time"
kennen,to know
kennismaken,to get to know
de kerk,the church
de keuken,the kitchen
kiezen,to choose
kijken,to look
kijken naar,to watch
de kilo,the kilogram
de kilometer,the kilometer
de kip,the chicken
klaar,ready
klaarmaken,to prepare
de klacht,the complaint
de klant,the customer
de kleding,the clothing
de kledingzaak,the clothing store
klein,small
de kleren,the clothes
de kleur,the color
klinken,to sound
de klok,the clock
dat klopt,that's right
de knoflook,the garlic
de koffer,the suitcase
de koffie,the coffee
koken,to cook
komen,to come
de komkommer,the cucumber
Koningsdag,King's Day
de koorts,the fever
de kop / het kopje,the cup
kopen,to buy
kort,short
de korting,the discount
kosten,to cost
koud,cold
krabben,to scratch
de kracht,the strength
de krachttraining,strength training
krijgen,to get
kunnen,can
het kwartier,the quarter
kwijt zijn,to be lost
laag,low
laat,late
laatst,last
lachen,to laugh
laden,to load
het land,the country
het landschap,the landscape
lang,long
langzaam,slow
hebben van,to have
laten,to let
laten zien,to show
het leer,leather
leggen,to lay
lekker,tasty
de lente,spring
de lepel,spoon
leren,to learn
de les,lesson
lesgeven,to teach
leuk,fun
leven,to live
het leven,life
lezen,to read
licht,light
het lid,member
de liefde,love
familierelaties,family relationships
het gezin,family
de ouders,parents
de vader,father
de moeder,mother
de man / echtgenoot,husband / spouse
de vrouw / echtgenote,wife / spouse
het kind -,child
de kinderen,children
de zoon,son
de dochter,daughter
de broer,brother
de zus,sister
de familie,family
de schoonzus,sister-in-law
de zwager,brother-in-law
de opa,grandfather
de oma,grandmother
het kleinkind,grandchild
de oom,uncle
de tante,aunt
de neef,nephew
de nicht,niece
dagen van de week,days of the week
maandag,Monday
dinsdag,Tuesday
woensdag,Wednesday
donderdag,Thursday
vrijdag,Friday
zaterdag,Saturday
zondag,Sunday
maanden,months
januari,January
februari,February
maart,March
april,April
mei,May
juni,June
juli,July
augustus,August
september,September
oktober,October
november,November
december,December
groente,vegetables
de courgette,zucchini
de aubergine,eggplant
de paprika,bell pepper
de tomaat,tomato
de andijvie,endive
de aardappel,potato
de champignon,mushroom
de peterselie,parsley
de sla,lettuce
de broccoli,broccoli
de bloemkool,cauliflower
het boontje,green bean
de sperzieboon,string bean
de knoflook,garlic
de komkommer,cucumber
de kool,cabbage
de witte kool,white cabbage
de rode kool,red cabbage
de boerenkool,kale
de zuurkool,sauerkraut
de ui,onion
de wortel,carrot
fruit,fruit
de appel,apple
de peer,pear
de sinaasappel,orange
de mandarijn,mandarin orange
de kiwi,kiwi
de banaan,banana
de aardbei,strawberry
de druif,grape
de perzik,peach
de pruim,plum
de kers,cherry
kleding / kleren,clothing
de broek,pants
de spijkerbroek,jeans
het T-shirt,T-shirt
de trui,sweater
de bloes,blouse
het overhemd,shirt
de rok,skirt
de jurk,dress
de jas,coat
de schoenen,shoes
het pak,suit
kleuren,colors
wit,white
zwart,black
grijs,gray
rood,red
blauw,blue
geel,yellow
groen,green
bruin,brown
paars,purple
roze,pink
oranje,orange
donker,dark
licht,light
effen,plain
geruit,checkered
gebloemd,floral
gestreept,striped
soort woonruimte,type of living space
een bepaald type woning,a specific type of house
de woning,house
het huis,home
de flat,apartment
het appartement,apartment
de bovenwoning,upstairs apartment
de benedenwoning,downstairs apartment
de verdieping,floor
de begane grond,ground floor
in en bij het huis,in and around the house
de woonkamer,living room
de slaapkamer,bedroom
de keuken,kitchen
de gang,hallway
de wc,toilet
de badkamer,bathroom
het raam,window
de deur,door
het balkon,balcony
de tuin,garden
het schuurtje,shed
de garage,garage
meubels,furniture
de tafel,table
de stoel,chair
de bank,sofa
het bed,bed
het bureau,desk
de kast,closet
lichaamsdelen,body parts
het hoofd,head
de nek,neck
de buik,stomach
de rug,back
de arm,arm
de schouder,shoulder
de pols,wrist
de hand,hand
de vinger,finger
het been,leg
de knie,knee
de enkel,ankle
de voet,foot
het gezicht,face
de mond,mouth
het oog,eye
de neus,nose
het oor,ear
dagdelen,times of day
de dag,day
de ochtend,morning
de morgen,morning
de middag,afternoon
de avond,evening
de nacht,night
vandaag,today
vanochtend,this morning
vanmorgen,this morning
vanmiddag,this afternoon
vanavond,this evening
vannacht,tonight
morgen,tomorrow
morgenochtend,tomorrow morning
morgenmiddag,tomorrow afternoon
morgenavond,tomorrow evening
morgennacht,tomorrow night
gisteren,yesterday
gisterochtend,yesterday morning
gistermorgen,yesterday morning
gistermiddag,yesterday afternoon
gisteravond,yesterday evening
gisternacht,last night
s morgens,in the morning
s ochtends,in the morning
s middags,in the afternoon
s avonds,in the evening
s nachts,at night
de fiets,bicycle
de bagagedrager,luggage rack
de band,tire
de bel,bell
de trapper,pedal
het stuur,handlebar
het wiel,wheel
het zadel,saddle
het licht,light
het achterlicht,taillight
het voorlicht,headlight
de standaard,stand
de versnelling,gear
remmen (de rem),brakes (the brake)
het slot,lock
liefst,preferably
liever,rather
de lieverd,darling
liggen,to lie (down)
lijken,to seem
lijken op,to resemble
de lijn,line
linkerhand,left hand
linksaf,left turn
logeren,to stay (overnight)
logisch,logical
de logopedie,speech therapy
lopen,to walk
de lucht,air
luisteren,to listen
lukken,to succeed
lunchen,to have lunch
lusten,to like (to eat)
de maand,month
maar,but
maar even,just a moment
de maat,size
de mail,email
de makelaar,real estate agent
maken,to make
(ge)makkelijk,(un)easy
de man,man
de manier,way
op die manier,in that way
mankeren,to be wrong or ill
de markt,market
maximaal,maximum
me,me (pronoun)
meedoen,to participate
zo snel mogelijk,as soon as possible
de mogelijkheid,possibility
mogen,may (permission)
de molen,windmill
"moment, op dit","moment, at this moment"
de mosterd,mustard
de mosterdsoep,mustard soup
het muntgeld,change (coins)
de muziek,music
momentje,moment (diminutive)
mooi,beautiful
morgen,tomorrow
de morgen,morning
de mosselen,mussels
na,after
de naam,name
naar,to
naast,next to
de nacht,night
namelijk,namely
de natuur,nature
nadat,after
het nagerecht,dessert
het najaar,autumn
nat,wet
de nationaliteit,nationality
de natuurdocumentaire,nature documentary
het natuurgebied,nature reserve
natuurlijk,natural
Nederland,the Netherlands
Nederlander,Dutch person
Nederlands,Dutch (language)
Nederlandse,Dutch (adjective)
nee,no
negatief,negative
nemen,to take
nergens,nowhere
net,just
net als,just like
niemand,nobody
niet,not
niet echt,not really
niets,nothing
nieuw,new
het nieuws,news
de nieuwsbrief,newsletter
nodig hebben,to need
nog,still
nogal,rather
nog maar,only
nog meer,even more
nog geen,not yet
nooit,never
normaal,normal
nou,well
nu,now
het nummer,number
o ja,oh yes
de ober,waiter
de ochtend,morning
oei,oops
of,or
o nee,oh no
om,around
omdat,because
omgaan,to deal with
onbeperkt,unlimited
onder,under
ondertitelen,to subtitle
de ondertitel,subtitle
onderweg,on the way
het ongeluk,accident
ongeveer,approximately
onhandig,clumsy
onmiddellijk,immediately
ons,us (pronoun)
het ontbijt,breakfast
onthouden,to remember
ontzettend,extremely
onze,our
ook,also
op,on
open,open
het openbaar vervoer,public transportation
opendoen,to open (a door)
opgaan,"to go up (e.g., stairs)"
ophalen,to pick up
opletten,to pay attention
opnemen,to record
opschrijven,to write down
opstaan,to stand up
opzeggen,"to cancel (e.g., a subscription)"
in orde maken,to make it right
oud,old
de ouders,parents
over,over
overal,everywhere
overdag,during the day
overleggen,to discuss
overmorgen,the day after tomorrow
oversteken,"to cross (e.g., a street)"
paar,couple
de paella,paella
het pak,suit
het papier,paper
de paprika,bell pepper
het park,park
pas,just
het pasje,"card (e.g., ID card)"
de paskamer,fitting room
passen,to try on
de pasta,pasta
de pauze,"break (e.g., school break)"
de pen,pen
de persoon,person
de peterselie,parsley
de pijn,pain
pijn doen,to hurt
pinnen,to withdraw (money)
pittig,spicy
de plaats,place
het plan,plan
van plan zijn,to plan to do something
de plattegrond,map
het plezier,pleasure
veel plezier,have fun
de politie,police
de politieagent,police officer
de pony,pony
het poosje,a while
de portemonnee,wallet
de portier,doorman
positief,positive
de postcode,postal code
prachtig,beautiful
de praktijk,practice
praten,to talk
praten over koetjes en kalfjes,to chit-chat
prettig,pleasant
de prijs,price
prima,excellent
proberen,to try
het probleem,problem
het procent,percent
proeven,to taste
het programma,program
proost,cheers
het publiek,audience
het raam,window
de rang,rank
de reactie,reaction
reageren,to react
het recept,recipe
rechtdoor,straight ahead
rechterhand,right hand
rechts,right (direction)
rechts afslaan,to turn right
regelmatig,regularly
regenen,to rain
de reis,journey
reizen,to travel
de rekening,bill
de rem,brake
reserveren,to reserve
de rest,rest
het restaurant,restaurant
de richting,direction
de rij,"line (e.g., queue)"
in de rij staan,to stand in line
het rijbewijs,driver's license
rijden,to drive
rijp,ripe
de rijst,rice
de rits,zipper
roepen,to call (shout)
romantisch,romantic
het rondje,round
rood,red
het rooster,schedule
roze,pink
de rug,back
achter de rug hebben,to have completed something
ruilen,to exchange
ruim,spacious
de salade,salad
het saldo,balance
samen,together
samenwonen,to live together
de saus,sauce
de schat,treasure
scheef,crooked
schijnen,to shine
het schilderij,painting
de school,school
schrijven,to write
schuin,diagonal
de schuur,shed
het seizoen,season
de serie,series
de serveerster,waitress
de shetlandpony,Shetland pony
sinds,since
sinds kort,recently
de slaapkamer,bedroom
de slager,butcher
de slagroom,whipped cream
slapen,to sleep
slecht,bad
slim,smart
sluiten,to close
snel,fast
snijden,to cut
de soep,soup
soms,sometimes
het soort,type
sorry,sorry
Spaans,Spanish
spaghetti carbonara,spaghetti carbonara
speciaal,special
het spekje,the bacon
spelen,to play
spellen,to spell
de spier,the muscle
de spierpijn,muscle pain
de spijkerbroek,jeans
het spoor,the track
de sport,sports
sporten,to do sports
de sportkleren,sports clothing
de sportschool,gym
spreken,to speak
staan,to stand
de stad,the city
de stamppot,mashed potatoes
steeds,always
stelen,to steal
sterkte,strength
de stoel,chair
stoppen,to stop
de storing,malfunction
de straat,the street
strak,tight
straks,soon
de student,student
het studentenhuis,student house
studeren,to study
de studie,study
het stuk,piece
het stuk(je),small piece
sturen,to send
het stuur,steering wheel
het systeem,system
de taal,language
de taart,cake
de tafel,table
de tante,aunt
de tas,bag
te,too
de technologie,technology
tegelijk,at the same time
tegen,against
tegenkomen,to meet
tegenover,opposite
de tekst,text
het tentamen,exam
het terras,terrace
terwijl,while
de thee,tea
thuis,at home
de tijd,time
tijdens,during
tiptop,tip-top
toch,"still, yet"
toe zijn aan,to be in need of
toen,then
het toetje,dessert
het toilet,toilet
de tomaat,tomato
de tomatensaus,tomato sauce
tot,until
tot dan,until then
tot morgen,see you tomorrow
tot straks,see you soon
tot ziens,goodbye
tot zo,see you later
total loss,total loss
de training,training
trakteren,to treat
de tram,tram
de trap,stairs
de trapper,pedal
de trein,train
tropisch,tropical
trouwen,to marry
het T-shirt,T-shirt
de tuin,garden
tussen,between
het type,type
typisch,typical
uit,out
uitdoen,to take off
de uitdrukking,expression
uitgerust zijn,to be rested
uitlopen,to finish
uitnodigen,to invite
uitstekend,excellent
het uur,hour
uw,your
vaak,often
de vaas,vase
de vader,father
de vakantie,holiday
op vakantie,on holiday
vallen,to fall
van,from
van alles,everything
van harte gefeliciteerd,congratulations
vanaf,from
vanavond,tonight
vandaag,today
vanmiddag,this afternoon
vanmorgen,this morning
vannacht,tonight
vanzelf,by itself
vast,"fixed, solid"
veel,"much, many"
vegetarisch,vegetarian
veilig,safe
Venetië,Venice
ver,far
veranderen,to change
verbeteren,to improve
verder,further
nog (iets) verder,further
gaan,to go
komen,to come
de verdieping,floor
het verdriet,sorrow
vergeten,to forget
"vergissen, zich",to make a mistake
het verhaal,story
verhuren,to rent
de verjaardag,birthday
op je verjaardag,on your birthday
het verkeer,traffic
verkeerd,wrong
de verkoopster,saleswoman
verkopen,to sell
verkouden zijn,to have a cold
verliezen,to lose
verontschuldigen,to apologize
vers,fresh
het verschil,difference
verschillende,various
verschrikkelijk,terrible
verstaan,to understand
versterken,to strengthen
vertellen,to tell
vertrekken,to depart
"vervelen, zich",to be bored
vervelend,annoying
de verwarming,heating
vet,fat
via,via
vieren,to celebrate
vierkant,square
de vierkante meter,square meter
vies,dirty
vinden,to find
virtueel,virtual
de vis,fish
het vlees,meat
het vliegtuig,airplane
"voelen, zich",to feel
de voetbalvereniging,soccer club
de vogel,bird
vol,full
volgen,to follow
volgende,next
volgens,according to
volgens mij,in my opinion
voor,for
"voorbereiden op, zich",to prepare for
de voorbijganger,passerby
het voordeel,advantage
het voorgerecht,appetizer
het voorjaar,spring
de voornaam,first name
"voorstellen, zich",to introduce oneself
de voorstelling,performance
vorig,previous
de vork,fork
vragen,to ask
vreemd,strange
de vriend,friend
de vriendin,girlfriend
vrij,free
vroeg,early
vroeger,in the past
de vrucht,fruit
waars,beware
waar... vandaan,where... from
waarnaartoe,where to
waarom,why
waarschijnlijk,probably
wakker,awake
wakker maken,to wake up
de Wandelbeurs,hiking fair
wandelen,to walk
de wandelreis,hiking trip
wanneer,when
want,because
warm,warm
wassen,to wash
wat,what
wat gezellig,how nice
wat interessant,how interesting
wat jammer,how unfortunate
wat lekker,how delicious
wat leuk,how nice
wat toevallig,how coincidental
wat vervelend,how annoying
we,we
wat stom,how stupid
wauw,wow
de wc,toilet
de wedstrijd / het wedstrijdje,competition
de week,week
het weekend,weekend
(het) weer,weather
de weg,road
de weg weten,to know the way
wegfietsen,to cycle away
weinig,"few, little"
de wekker,alarm clock
wel,well
welk(e),which
welkom,welcome
welterusten,goodnight
wensen,to wish
het werk,work
werken,to work
het westen,west
weten,to know
wie,who
het wiel,wheel
wij,we
wijd,wide
de wijn,wine
willen,to want
(graag) willen,(would) like
de winkel,"store, shop"
de winter,winter
wit,white
wonen,to live
de woning,"dwelling, apartment"
de woonkamer,living room
de woonruimte,living space
worden,to become
de zaak,"matter, case"
de zaal,"hall, room"
het zadel,saddle
de zalf,ointment
ze,"she, they"
zeer doen,to hurt
zeggen,to say
zeker,sure
zelf,self
zetten,to put
zich,oneself
ziek,sick
zien,to see
zij,"she, they"
zijn,"his, her, their"
zin hebben om,to feel like
zitten,to sit
zo,"so, like this"
niet zo,not so
zo meteen,in a moment
zoals,"like, as"
zodat,so that
zodra,as soon as
zoeken,to search
de zomer,summer
de zomerhitte,summer heat
zo'n,"such, so"
zonder,without
zonnig,sunny
de zoon,son
Zuid-Afrikaans,South African
zulk,such
zullen,will
de zus,sister
zwart,black
zwemmen,to swim
